username,rating,review
Pengguna Google,3,"Woy benerin tuh yang kolaborasi, ini cewek gua mau nambahin lagu gak bisa katanya. Cepet medkit woy Spotify"
Pengguna Google,5,Sangat bagus
Pengguna Google,5,Suara bagus
Pengguna Google,5,Asik
Pengguna Google,5,Karena bagus
Pengguna Google,5,"sangat cocok untuk mendengarkan lagu lagu sad, happy dll."
Pengguna Google,2,"Belakangan ini update Spotify itu sedikit menganggu menurut saya. Mulai dari Lirik lagu yang banyak tidak ada dari dulu tidak di fix, (sebenarnya bisa, namun harus premium) memilih Lagu sesuai keinginan dibatasi sehari, men-skip lagu yang dibatasi 6x/jam. Jujur saya tidak terlalu masalah dengan skip lagu yang dibatasi, toh cuma per-jam. Namun mengapa memilih lagu sesuai keinginan user masing-masing harus dibatasi? Sampai per-hari pula. I hope Spotify could fix this as soon as possible, thanks."
Pengguna Google,4,Sangat bagus
Pengguna Google,1,Buruk tidak bisa di buka
Pengguna Google,5,Very very good
Pengguna Google,5,D best lah. Langganan premium family. Jadi ga repot2
Pengguna Google,5,Bagus sekali
Pengguna Google,4,"Bagusss, tp klk ada liriknya mungkin lebih baguss"
Pengguna Google,5,Good
Pengguna Google,3,"Iya memang bagus tpi, mengapa sporty saya tidak bisa melihat lirik?"
Pengguna Google,5,Sangat bagus tapi saya cuman buat kalau lagi galau 🙏🙏
Pengguna Google,4,Cukup membantu 👍👍👍
Pengguna Google,5,"Aplikasinya mantul parah bah apalgi support center nya wah,untuk kakak kakak centernya aku ucapin makasi bangeeet untuk pulihin akun ku 🤧🤧 SO THIS IS THE BEST MUSIC APPLICATION AND THEIR CREW CENTER IS FAST RESPONSIVE"
Pengguna Google,5,saya suka sama lagu lagu nya😉
Pengguna Google,1,"apasih makin lama makin pelit, apa apa premium, semua premium, dikit-dikit iklan najong"
Pengguna Google,4,aplikasinya bagus tapi di aku liriknya g muncul😓
Pengguna Google,2,Malas di suruh premium terus mendingan ganti ke joxx
Pengguna Google,5,Very good and simple using
Pengguna Google,5,Ok
Pengguna Google,5,Mantap apk nya dapat digunakan untuk denger lagu sambil matiin hp nya
Pengguna Google,5,"Saya suka spotify!,karena ada banyak lagu yang sesuai ingin saya dengarkan,tapi jangan ada iklannya dong mana harus premium lebih bagus gratis aja gausah ada premiun premiuman meskipun gak nguntugin tapi bikin orang lain bahagia,nah bikin orang bahagia dapet pahala"
Pengguna Google,5,Good !
Pengguna Google,5,Mantap keren aplikasinya
Pengguna Google,5,Enak bro
Pengguna Google,5,Top lagu pujian
Pengguna Google,5,Bagus bisa gratis lagu
Pengguna Google,5,"saya suka pake Spotify ini karna bisa dengerin musik dimana pun & kapan pun saat santay, saat apapun selalu nemenin ok sekian dan terimakasih"
Pengguna Google,5,Keren
Pengguna Google,5,Cinta banget sama spotify
Pengguna Google,5,hindia no 1
Pengguna Google,5,Bagus😃
Pengguna Google,5,bagus enak di denggar bisa buat nge game juga
Pengguna Google,5,Sangat sangat baik
Pengguna Google,5,sangat bagus
Pengguna Google,5,I like
Pengguna Google,1,Pas iklan malah ga jalan
Pengguna Google,5,Bagus😎
Pengguna Google,5,Seru
Pengguna Google,5,Bagus sekali untuk orang yang galau seperti saya
Pengguna Google,5,"Sangattt bagusss!!!! Aplikasi untuk download lagu, dengerin lagu, dan bikin playlist sendiri itu menyenangkan!!!!. Good Job"
Pengguna Google,5,Bagus banget buat gabuttt
Pengguna Google,4,Agak ngelag tapi menurut aku bagus buat didengar kalo bisa jangan pake kuota aja biar bisa dengerin musik trus
Pengguna Google,5,Nica try
Pengguna Google,5,Good spotify
Pengguna Google,5,Kece
Pengguna Google,1,saya mau bayar premium malah gabisa udah berapa kali saya daftar paket shopepay tetap gabisa
Pengguna Google,5,Bagus
Pengguna Google,5,Sangat membantuku
Pengguna Google,5,bagus banget.. l like it
Pengguna Google,1,Sptify udah ngaco nggak bener
Pengguna Google,5,Banyak lagu kesukaan
Pengguna Google,3,Cukup puas
Pengguna Google,5,Lengkaaap
Pengguna Google,5,Bgus bgt buat dengerin lagu
Pengguna Google,5,bagus
Pengguna Google,5,Sangat suka kamu syg
Pengguna Google,5,Karna musiknya seru gitu apa yg kita mau pasti ada makanya aku jarang buka yutub karna ngebosenin ya udah saya sekarang pake spotify
Pengguna Google,5,GUA SUKA BGTE GILA TPIE TLONG TMBAHIN LGU YG AD DI. TIKTOK ITI
Pengguna Google,4,"lumayan sii,tapi tolong aja jangan terlalu banyak iklan,itu bikin saya kesel dikit.udh it aja kok"
Pengguna Google,2,"semua aja premium in,yaelah"
Pengguna Google,5,Sangat suka
Pengguna Google,5,Sigma banget aplikasi ini
Pengguna Google,5,Pemgalamam mendengar musik yg asyik
Pengguna Google,5,keren
Pengguna Google,5,buat dengerin saat senggang top lah👍
Pengguna Google,1,"""Spotify adalah aplikasi untuk mendengarkan lagu dan podcast secara gratis"" ubur ubur ikan lele Hoax lee"
Pengguna Google,5,Bagusss
Pengguna Google,4,Saya sangat senang mendengarkan musik yang ada di spotify
Pengguna Google,5,👍👍👍👍👍
Pengguna Google,2,Banyak sekali fitur fitur yang dulunya gratis menjadi berbayar contoh klik lagu A malah muncul notifikasi harus premium lalu diputar lagu B
Pengguna Google,5,Oke
Pengguna Google,2,Semuanya premium jadi kalo mau ganti lagu nggak bisa disetel harus premium dulu. Jadi tolong untuk premium yang untuk ganti lagu dihapus. Tolong didengar.
Pengguna Google,5,Waw mantap
Pengguna Google,5,bagus
Pengguna Google,5,Okee
Pengguna Google,4,"""Spotify adalah aplikasi mendengarkan lagu dan podcast gratis"". gratis apanya lagu yang udah saya masukan ke koleksi ilang semua malah harus beli premium, dulu masih bisa tanpa beli premium jadi gimana bosss"
Pengguna Google,2,"Kebanyakan iklan, udah bayar internet masih saja dibebani iklan."
Pengguna Google,2,"lagu suka tiba"" mati sendiri mohon cepat cari solusi nya sangat mengganggu moment ketika mendengar kan musik"
Pengguna Google,5,Good
Pengguna Google,5,Enak aja
Pengguna Google,5,Terbaik
Pengguna Google,5,Sumpah seru bgt
Pengguna Google,5,Musik nya sangat bagus dan banyak aku tidak tahu bilang apa lagi karena mungkin banyak yang lain
Pengguna Google,3,banyakan iklan skarang.
Pengguna Google,4,Mantap y
Pengguna Google,4,Siip memuaskan
Pengguna Google,5,Bagus membantu buat orang sepertiku
Pengguna Google,5,Baguss
Pengguna Google,5,Bagus banget👍👍🤩
Pengguna Google,5,Baguss banget saya suka.....
Pengguna Google,5,Top
Pengguna Google,1,"apk apaan mending langsung download lagu nya aja, di paksa suruh premium, dikit"" iklan lah, ga bisa puter lagu yang kita mau lah, kalo ga premium. aneh, kebelet banyak yang berlangganan?"
Pengguna Google,5,Good apk
Pengguna Google,5,mantap
Pengguna Google,1,"spotify skrng suka apus apusin views lagu, kasian sama penyanyinya."
Pengguna Google,5,yg penting bisa buat sambil main games
Pengguna Google,3,Jelek soal nya sekarang harus premium gak bisa sembarang tapi awal nya bagus lama lama jelek tau gak siselalu eror
Pengguna Google,5,semua lagu ada dan membantu orang yang kesepian pengen ngelagu gratis
Pengguna Google,3,sebenernya ini bgs si tpi knp harus ad batasan untuk memilih lagu? jika sudah beberapa kali maka lagu akan otomatis terpilih dari spotify lngsng jadi ak ga trlalu suka krna dibatasin jadi ak ga bebas buat ndengar lagu yang ak inginkan jadi semoga tidak ad batasan untuk memilih lagu jika sudah tidak ad batasan saya akan memberi bintang 5
Pengguna Google,5,nice...
Pengguna Google,5,Mau pilih lagu apa aja bisa👍
Pengguna Google,3,"Maaf sebelumnya, cuman mau bilang, perbaiki rekomendasinya, sama untuk yang ga premium jangan sampe di paksa banget untuk premium. Ini itu di batasi, bikin ga nyaman."
Pengguna Google,3,"Bagus tapi kalo udah sering dipake pasti mati, dihapus datanya lagunya ga hidup kecuali harus di hapus terus di instal lagi baru bisa lagi, tolong diperbaiki ya"
Pengguna Google,4,Mantap
Pengguna Google,5,Ok
Pengguna Google,1,Sistemmu makin jelek
Pengguna Google,3,Banyak iklan
Pengguna Google,5,Bagus keren menarik tapi dulu gw pernah ngalamin tidak ada suara tapi sekarang dah aman gak ada bug lagi
Pengguna Google,5,"Sangat bagus, saya sangat suka"
Pengguna Google,3,masak pilih lagu harus nunggu besok
Pengguna Google,2,"maksa bangett dahh harus premium, jadi ga bisa dengerin musikk"
Pengguna Google,5,bisa mendengarkan lagu
Pengguna Google,5,Awesome
Pengguna Google,5,Nice app music
Pengguna Google,1,ini sangat bagus untuk kesenangan
Pengguna Google,5,Bagus
Pengguna Google,5,"Pemutar musik terbaik, Saya suka.."
Pengguna Google,1,Gak bisa ke update
Pengguna Google,5,bagus bangett
Pengguna Google,5,Suka Skali the best pokokny
Pengguna Google,5,Oke banget
Pengguna Google,5,Luar biasa
Pengguna Google,4,apk nya bagus
Pengguna Google,5,Semangat.. Slalu Berikan Yang TerBaik Buat Orang Banyak..
Pengguna Google,5,Jos mantap 👍👍👍
Pengguna Google,4,Terlalu banyak iklan
Pengguna Google,5,"Bagus sekali , saya sangat menyukainya"
Pengguna Google,5,"Buat yang komen banyak iklan lah, inilah, itulah, tolong pahami juga kalau spotify itu perusahaan. Mereka butuh uang untuk membayar pemegang hak cipta lagu dan artisnya. Kalau memang nggak suka iklan, makanya beli premium. Lagu yang kalian dengarkan itu punya lisensi dan harus dibayarkan kepada artisnya. Nggak habis pikir deh minta gratisan tapi mau layanan premium."
Pengguna Google,5,Bagus semoga gratis terus
Pengguna Google,1,kebanyakan iklan
Pengguna Google,5,Mantap
Pengguna Google,1,Gk suka terlalu terlalu byk iklan
Pengguna Google,5,Bagussssssssss
Pengguna Google,5,Enak dan jernih
Pengguna Google,5,ok babget
Pengguna Google,5,Bgs bangettt 😭
Pengguna Google,5,Bagus sekali
Pengguna Google,5,sangat baik enak untuk didengar
Pengguna Google,5,Best app for listening music
Pengguna Google,5,Ok
Pengguna Google,5,Ok
Pengguna Google,5,Aplikasi ya bagus banget bisa juga dengarkan cerita dll
Pengguna Google,5,Iloveyou
Pengguna Google,5,bagus
Pengguna Google,4,Saya suka dengan apk ini
Pengguna Google,5,The bestlah 1
Pengguna Google,5,Suka lah pokoknya apalagi klok bisa medo offline
Pengguna Google,5,bgus
Pengguna Google,5,"BAGUS BGT APLIKASINYA, DULU BISA DENGERIN MUSIK SAMBIL NGE GAME KOK SKRG GABISA YA?, SUKA KE RESTART SENDIRI PADAHAL ACCOUNT SAYA PREMIUM"
Pengguna Google,5,Mantep nih aplikasi
Pengguna Google,1,"Makin buruk ,,makin banyak iklan,apk Maruk duit"
Pengguna Google,5,Bagus musiknya ada semua
Pengguna Google,5,baguss bangett
Pengguna Google,5,Mantap
Pengguna Google,1,Premium apaan dh gak jelas search lagu biasa aja malah suruh premium eek😡😡😡
Pengguna Google,5,Apk ini bagus ada lagu let her go yg selalu nemani ku saat kesepian
Pengguna Google,5,kurangin berlanggananny dong pak
Pengguna Google,1,g bisa beli pket premium
Pengguna Google,5,Sangat baik
Pengguna Google,5,Enak banget
Pengguna Google,4,Bagus untuk mendengar lagu
Pengguna Google,5,Mantap
Pengguna Google,3,Saat saya buka tidak bisa memutar lagu karna offline padahal Kouta saya ad
Pengguna Google,5,Mantap
Pengguna Google,5,Aku suka aplikasi ini
Pengguna Google,2,Admin pelit maksa bgt buat premium
Pengguna Google,5,Bagus
Pengguna Google,5,yey
Pengguna Google,5,Bagus
Pengguna Google,5,"sekarang lirik nya kadang ada kada gada,tpi bagus🥰"
Pengguna Google,5,"Rekomendasiin banget siii bagus, ga banyak iklan"
Pengguna Google,5,Bagus👍
Pengguna Google,5,"jujurly,, ini bagus bgt ya bisa denger lagu apa aja dan bisa liat lirik nya juga jadi bisa ikutan nyanyi dan kadang ada iklan agak ngeselin bagi yg gmw ada iklan premium dulu.. and tolong ya kalo lagunya abis gantinya jangan kmn²😅 itu aja yang aku mau omongin aja"
Pengguna Google,5,Seru
Pengguna Google,5,"Keren, bagus, terbaik"
Pengguna Google,1,Ok
Pengguna Google,5,Bagus
Pengguna Google,4,"bintang empat dari saya!!! tapi sangat disayangkan kenapa saat saya terlalu banyak mengskip lagu itu kena limit dan lirik yg tidak bisa di lihat, saran dari saya si di kurangin sifat kikir nya"
Pengguna Google,4,Aplikasi yg bagus tapi sayangnya ada iklannya jadi kurang puas gitu
Pengguna Google,5,Bagus sekali
Pengguna Google,5,Good👍🏻❤️
Pengguna Google,5,Bagus sekali
Pengguna Google,1,"Spotify mangkin buruk apa"" harus bayar apk yg ga patut di download/buka"
Pengguna Google,5,bagus
Pengguna Google,5,Ok
Pengguna Google,4,Bagus cuman kuranganya update terbaru Spotify ini membuatku bingung
Pengguna Google,5,Mantap
Pengguna Google,1,"Kebanyakan iklan, maksa bgt jdi premium."
Pengguna Google,5,loppppp bngt
Pengguna Google,5,Lagunya bagus dan aplikasi gampang digunakan.
Pengguna Google,4,"Saya lebih suka Spotify yang dulu, sekarang kalo apa apa harus premium,urutan sesuai playlist harus premium,tolong di buat seperti dulu lagi🙏🏻"
Pengguna Google,5,Aku menemukan lagu kenagan 1976 dari eropa.itu kenangan masa kecil ku yg sering aku dengar sebuah kaset pita milik pak de ku.trimakasih
Pengguna Google,5,Sangat bagus .untuk mengisi. Dan sangat menghibur saya dalam mengisi waktu senggang
Pengguna Google,5,enak bngt lagu² nya
Pengguna Google,5,bagus banget
Pengguna Google,5,Keren
Pengguna Google,1,Sudah isi saldo google play tidak bisa bayar pakai itu. Rugi kami
Pengguna Google,5,Keren poooolllll 🫡🫡❤️❤️❤️❤️👍👍👍
Pengguna Google,5,bagus
Pengguna Google,4,Cobaa hilangkan iklannya udah saya kasih 5 bintang
Pengguna Google,5,Bagus
Pengguna Google,5,Mantap
Pengguna Google,5,Super komplit lagunya
Pengguna Google,1,"tadi nya bisa gunta ganti lagu tanpa batasan walaupun ga prem, tpi skrg ga bisa, dan tadi nya ada prem yang satu hari tpi knpa ga ada, bukan nya ga bisa beli yg mingguan atau bulanan cma aja sayang duit nya gua jarang dengerin musik cma klo lgi pengen aja mknnya sering beli yg perhari/2500"
Pengguna Google,5,Good
Pengguna Google,1,mau denger lagu aja harus dibatesin. gajelas
Pengguna Google,5,Bagus coy
Pengguna Google,5,Mantap
Pengguna Google,5,No coment💯 Pokonya aplikasi ini yg terbaik 💯
Pengguna Google,5,Mantap bgtttttttttttttt tttt
Pengguna Google,5,bagus
Pengguna Google,5,Good
Pengguna Google,5,Bagus
Pengguna Google,1,"nggak bisa di install aplikasinya,,, harus premium soalnya🤡"
Pengguna Google,1,apk ini jelek banget banyak iklan jelek🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤮🤢🤮🤢🤮🤢🤮🤢
Pengguna Google,5,Ubur ubur iwak lele Ora muter musik ora asik leee
Pengguna Google,5,Good
Pengguna Google,5,Gk Bagus bange5tt
Pengguna Google,5,Ok
Pengguna Google,2,"bagus sih bagus tapi iklannya ganggu bgt trus banyak lagi😭ga bisa galau"" apapun itu tlong ilangin iklannya:)"
Pengguna Google,5,temen gabut cokkk cocok bett
Pengguna Google,5,Seruuuuuuuu
Pengguna Google,2,Sering berhenti sendiri lagunya awal nya mau ngesad malah gak jadi
Pengguna Google,5,Karna sporty enak di dengar
Pengguna Google,4,"Lengkap dan bagus 😍 saya, suka kalo saya lagi galau saya pasti ke spotify dan sekali lagi saya, mengucap kan Terima kasih sudah jadi teman galau saya Terimakasih untuk spotify"
Pengguna Google,1,ga bisa login jirr
Pengguna Google,5,tempat dengerin musik paling top
Pengguna Google,4,Baguslah ngga banyak iklan
Pengguna Google,1,Gk lengkap musiknya. Sumpah YouTube music bisa gratis dengerin musik latar belakang langsung pindah ku
Pengguna Google,5,Bagus
Pengguna Google,5,Bagus baik dan enak
Pengguna Google,5,bagus cmn iklan mulu
Pengguna Google,5,Mantaaap
Pengguna Google,1,"ini serius maksa banget buat jadi premium? ya kali milih lagu tapi yang diputar justru yang ga dipilih kan lucu, kalau gini terus ujung""nya pada pindah karna hal basic milih lagu aja gabisa di play, lucu sih nih aplikasi kesannya maksa banget."
Pengguna Google,5,Bagus sekali
Pengguna Google,5,Good
Pengguna Google,4,bagussss
Pengguna Google,5,Lagu santai enak di waktu kerja di ojol driver grab terimakasih
Pengguna Google,5,nice
Pengguna Google,5,Aplikasi ini sangat bagus bisa nyalain lagu banyak aku suka dengan aplikasi ini bisa mendengarkan lagu dengan tenang
Pengguna Google,5,Sangat bagusss aplikasi nyaa
Pengguna Google,4,"Seru,lagunya enak-enak enak didengar"
Pengguna Google,5,Good
Pengguna Google,5,Karena sangat baguss
Pengguna Google,5,Good
Pengguna Google,5,kenapa spotify premium tidak ada lirik? tolong diperbaiki
Pengguna Google,5,Bagus
Pengguna Google,5,Nice
Pengguna Google,5,Bagus 👍👍👍👍
Pengguna Google,5,Anteng
Pengguna Google,5,Nyossss
Pengguna Google,1,tidak recommended untuk user gratisan seperti ku
Pengguna Google,5,keren
Pengguna Google,1,Terlalu banyak iklan dan lagunya tidak lengkap
Pengguna Google,5,Tetap date ✨😍
Pengguna Google,2,Ini bagus
Pengguna Google,5,Lagunya lengkap dan bagus👍
Pengguna Google,1,"Aplikasi kikir!! Perkara skip lagu aja pake dibatasi 6x/jam, masa harus berlangganan cuma untuk skip lagu!!"
Pengguna Google,5,Mantap
Pengguna Google,5,Sangat bagussssssss
Pengguna Google,5,Sesuka memilih nya...pasti ada
Pengguna Google,5,Kalau saya mau sportify kaya dulu tdk ada iklan lebih asik
Pengguna Google,4,Bagus aplikasinya
Pengguna Google,5,Bagus
Pengguna Google,5,Mantaap
Pengguna Google,5,Sangat bagus
Pengguna Google,5,Bagus banget
Pengguna Google,5,Mantap
Pengguna Google,3,Ubur ubur ikan lele aplikasinya bagus lee
Pengguna Google,5,Spotify memang enak lagu nya bah dengar kan musik lancar lagi
Pengguna Google,4,Good
Pengguna Google,5,suka lagu2 nya komplite
Pengguna Google,5,Sangat bagus dan tanpa iklan
Pengguna Google,1,Kebanyakan iklan daripada lagu
Pengguna Google,5,Soptify tetap bintang 5
Pengguna Google,5,S̴e̴m̴o̴g̴a̴ s̴e̴l̴a̴l̴u̴ s̴u̴k̴s̴e̴s̴
Pengguna Google,1,"kebanyakan iklan, masa baru nyetel 1 lagu udah muncul iklan? 1 menit lagi"
Pengguna Google,1,"Maksa banget harus premium,coba pikirkan pengguna yang masih pelajar,belum punya uang sendiri,aplikasi terlalu kikir!"
Pengguna Google,5,sangat menhibur
Pengguna Google,5,Bagus sih bisa main juga!
Pengguna Google,5,mantap
Pengguna Google,5,meskipun slalu suka berhenti sendiri aku kasih rating 5
Pengguna Google,5,menarik
Pengguna Google,5,Bagus
Pengguna Google,5,"Good enough, Amazing"
Pengguna Google,5,Best
Pengguna Google,4,"Kenapa kalo pake spotify suara nya kecil ga seperti pake jook, jdi perbandingannya jauh sekali dari suara nya"
Pengguna Google,5,Aplikasi bagus banget deh pokoknya. Lebih bagus lagi kalo pemutaran lagunya gak di batesin ya admin.
Pengguna Google,5,baguss aja gtuu saya kasihh bintang 5
Pengguna Google,5,Menghibur
Pengguna Google,5,baguss sii ga kaya seperti aplikasih lainn di spotify aja yang bisa mutar di latar belakang
Pengguna Google,2,Ada iklannya
Pengguna Google,3,Untuk sekarang ini lumayanlah
Pengguna Google,1,Greatt app 🤍
Pengguna Google,5,Cukup menghibur
Pengguna Google,5,"Salah satu apk yang slalu nemenin galau malam gue dengan bermacam"" genre lagu yang terputar di playlist gue. Bnyk promo jg yg ditawarin udh 2× dpt promo premium dgn harga murah dn itu worth it bngt bagi kantong pelajar gue☝🏻🤓"
Pengguna Google,5,penenang tidur
Pengguna Google,1,"Spotify gw terus terusan kena hack , gimana sih udah premium tapi keamanan jelek"
Pengguna Google,5,yah lumayan lah agk membantu tidur nyenyak
Pengguna Google,5,Suka banget
Pengguna Google,5,Mantabs
Pengguna Google,5,Bagus sekali
Pengguna Google,5,Keren
Pengguna Google,5,"Selama ini tidak ada bermasalah dan sangat memuaskan buat aku, terimakasih buat aplikasi ini 🙏🙏🙏"
Pengguna Google,2,karna lagu yang di sukai ga bisa dengarin pas offline
